student_school,student_sex,student_age,home_address_type,family_size,parent_cohabitation_status,mother_education,father_education,mother_job,father_job,school_choice_reason,student_guardian,travel_time,weekly_study_time,past_class_failures,extra_educational_support,family_educational_support,paid_extra_classes,extra_curricular_activities,attended_nursery_school,higher_education_aspiration,internet_access_at_home,romantic_relationship,family_relationship_quality,free_time_after_school,going_out_with_friends,workday_alcohol_consumption,weekend_alcohol_consumption,current_health_status,school_absences,major,id,period,score,guardian_education,guardian_job
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no school support,no family support,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,Math,1,first period,19,4:higher education,health
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no school support,no family support,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,Math,1,second period,19,4:higher education,health
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no school support,no family support,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,Math,1,final,20,4:higher education,health
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,Math,2,first period,18,4:higher education,teacher
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,Math,2,second period,19,4:higher education,teacher
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,Math,2,final,19,4:higher education,teacher
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Math,3,first period,18,4:higher education,teacher
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Math,3,second period,19,4:higher education,teacher
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Math,3,final,19,4:higher education,teacher
MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no school support,no family support,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,Math,4,first period,19,4:higher education,other
MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no school support,no family support,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,Math,4,second period,18,4:higher education,other
MS,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no school support,no family support,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,Math,4,final,19,4:higher education,other
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no school support,no family support,no,yes,no,yes,yes,no,3,2,4,1,4,2,4,Portuguese,5,first period,17,4:higher education,teacher
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no school support,no family support,no,yes,no,yes,yes,no,3,2,4,1,4,2,4,Portuguese,5,second period,18,4:higher education,teacher
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no school support,no family support,no,yes,no,yes,yes,no,3,2,4,1,4,2,4,Portuguese,5,final,19,4:higher education,teacher
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no school support,family support,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,Math,6,first period,16,3:secondary education,services
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no school support,family support,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,Math,6,second period,18,3:secondary education,services
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no school support,family support,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,Math,6,final,19,3:secondary education,services
GP,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no school support,family support,no,no,yes,yes,no,no,3,1,2,1,1,3,0,Portuguese,7,first period,18,3:secondary education,services
GP,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no school support,family support,no,no,yes,yes,no,no,3,1,2,1,1,3,0,Portuguese,7,second period,19,3:secondary education,services
GP,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no school support,family support,no,no,yes,yes,no,no,3,1,2,1,1,3,0,Portuguese,7,final,19,3:secondary education,services
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no school support,family support,yes,no,yes,yes,yes,no,4,3,3,1,2,2,5,Math,8,first period,18,2:5th to 9th grade,at home
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no school support,family support,yes,no,yes,yes,yes,no,4,3,3,1,2,2,5,Math,8,second period,18,2:5th to 9th grade,at home
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no school support,family support,yes,no,yes,yes,yes,no,4,3,3,1,2,2,5,Math,8,final,19,2:5th to 9th grade,at home
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no school support,family support,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,Math,9,first period,15,4:higher education,teacher
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no school support,family support,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,Math,9,second period,16,4:higher education,teacher
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no school support,family support,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,Math,9,final,18,4:higher education,teacher
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no school support,family support,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,Math,10,first period,19,4:higher education,teacher
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no school support,family support,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,Math,10,second period,18,4:higher education,teacher
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no school support,family support,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,Math,10,final,18,4:higher education,teacher
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,Math,11,first period,16,4:higher education,services
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,Math,11,second period,17,4:higher education,services
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,Math,11,final,18,4:higher education,services
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,Math,12,first period,18,4:higher education,teacher
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,Math,12,second period,18,4:higher education,teacher
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no school support,no family support,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,Math,12,final,18,4:higher education,teacher
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no school support,family support,no,no,yes,yes,yes,no,4,2,4,2,3,2,24,Math,13,first period,18,4:higher education,services
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no school support,family support,no,no,yes,yes,yes,no,4,2,4,2,3,2,24,Math,13,second period,18,4:higher education,services
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no school support,family support,no,no,yes,yes,yes,no,4,2,4,2,3,2,24,Math,13,final,18,4:higher education,services
GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no school support,family support,yes,no,yes,yes,yes,yes,3,1,2,1,3,2,21,Math,14,first period,17,3:secondary education,other
GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no school support,family support,yes,no,yes,yes,yes,yes,3,1,2,1,3,2,21,Math,14,second period,18,3:secondary education,other
GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no school support,family support,yes,no,yes,yes,yes,yes,3,1,2,1,3,2,21,Math,14,final,18,3:secondary education,other
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Portuguese,15,first period,18,4:higher education,teacher
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Portuguese,15,second period,17,4:higher education,teacher
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no school support,no family support,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,Portuguese,15,final,18,4:higher education,teacher
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no school support,no family support,no,no,yes,yes,yes,yes,4,2,3,1,1,3,0,Portuguese,16,first period,17,2:5th to 9th grade,services
